                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.28366,                0.25396,                0.84246,                0.83413,                 0.8089,                0.87825,                0.82752,                0.34449,                0.53103,                0.84413,             0.00055261,             0.00055261,             0.00055261
                    104,                0.28554,                0.26251,                0.84461,                0.84206,                 0.7943,                0.87653,                0.82006,                 0.3594,                0.57071,                0.85168,             0.00054986,             0.00054986,             0.00054986
                    105,                0.28037,                0.26276,                0.84481,                 0.8143,                 0.8413,                0.88058,                0.82732,                0.35108,                0.51397,                0.84899,             0.00054711,             0.00054711,             0.00054711
                    106,                0.28472,                0.26775,                0.84393,                0.85404,                0.77074,                0.86704,                0.81268,                0.35715,                0.52797,                 0.8523,             0.00054437,             0.00054437,             0.00054437
                    107,                0.27918,                0.25629,                0.84571,                0.85449,                0.80237,                0.86202,                0.80932,                0.35362,                0.53901,                0.84739,             0.00054162,             0.00054162,             0.00054162
                    108,                 0.2768,                0.24645,                0.83575,                0.79683,                0.84257,                0.86656,                0.82142,                 0.3443,                0.56482,                0.84743,             0.00053887,             0.00053887,             0.00053887
                    109,                0.26846,                0.24269,                0.83736,                  0.851,                0.82494,                0.87565,                0.83104,                0.33813,                0.50625,                0.84273,             0.00053612,             0.00053612,             0.00053612
                    110,                0.26906,                0.24743,                0.84197,                0.86158,                0.78696,                0.86408,                0.81365,                 0.3511,                0.54874,                0.84663,             0.00053337,             0.00053337,             0.00053337
                    111,                0.27658,                 0.2499,                0.84818,                0.78962,                0.82398,                0.86081,                0.80639,                0.35884,                0.56105,                0.84752,             0.00053062,             0.00053062,             0.00053062
                    112,                0.28173,                 0.2526,                0.83548,                0.84226,                0.78266,                0.85685,                0.80719,                0.34264,                0.54881,                0.84493,             0.00052787,             0.00052787,             0.00052787
                    113,                0.27323,                0.24949,                0.84106,                0.82134,                0.78231,                0.85516,                0.80674,                0.34183,                0.55716,                0.84419,             0.00052512,             0.00052512,             0.00052512
                    114,                0.28064,                0.25071,                 0.8442,                0.84304,                0.79025,                0.85689,                0.80814,                0.34949,                0.55644,                0.85001,             0.00052237,             0.00052237,             0.00052237
                    115,                0.26986,                 0.2399,                0.83983,                0.83682,                0.79642,                0.86325,                0.81566,                0.34483,                0.54577,                0.84645,             0.00051963,             0.00051963,             0.00051963
                    116,                0.26899,                0.24201,                 0.8365,                0.82156,                0.80471,                0.84134,                0.79326,                0.34594,                0.57733,                0.84985,             0.00051688,             0.00051688,             0.00051688
                    117,                 0.2687,                0.24183,                0.83575,                0.79691,                0.79624,                0.85169,                0.80365,                0.35053,                0.62077,                0.84909,             0.00051413,             0.00051413,             0.00051413
                    118,                0.26947,                0.24225,                0.83838,                0.81507,                0.78805,                0.86567,                0.81385,                0.35039,                0.56645,                 0.8527,             0.00051138,             0.00051138,             0.00051138
                    119,                0.26688,                0.23915,                0.84037,                0.79268,                0.79353,                0.84336,                0.79118,                0.35409,                0.61655,                0.85315,             0.00050863,             0.00050863,             0.00050863
                    120,                0.26788,                0.22768,                0.83931,                0.84203,                0.77244,                0.84047,                0.79441,                 0.3475,                0.62115,                 0.8477,             0.00050588,             0.00050588,             0.00050588
                    121,                0.26715,                0.22889,                0.83616,                0.84329,                0.79377,                0.85098,                0.80313,                0.34282,                0.56774,                 0.8477,             0.00050313,             0.00050313,             0.00050313
                    122,                0.27003,                0.23752,                0.84398,                0.83594,                0.81322,                0.88101,                0.83521,                0.34073,                0.57196,                0.84559,             0.00050038,             0.00050038,             0.00050038
                    123,                0.26134,                0.23412,                0.83964,                0.84177,                0.80739,                0.88033,                0.83132,                0.34423,                0.54312,                0.84363,             0.00049763,             0.00049763,             0.00049763
                    124,                 0.2637,                0.23373,                0.83667,                0.81302,                0.82477,                 0.8625,                0.81504,                 0.3383,                0.58919,                0.84466,             0.00049489,             0.00049489,             0.00049489
                    125,                0.26043,                0.22834,                0.83356,                0.85141,                0.80025,                0.86938,                0.82165,                0.33879,                0.55525,                0.84108,             0.00049214,             0.00049214,             0.00049214
                    126,                0.25641,                0.22168,                0.83702,                0.82398,                0.80768,                0.85698,                0.80887,                0.34366,                0.58493,                0.84655,             0.00048939,             0.00048939,             0.00048939
                    127,                0.25975,                0.23214,                0.83442,                 0.8027,                0.80891,                0.84699,                0.80316,                0.33793,                0.61867,                0.84273,             0.00048664,             0.00048664,             0.00048664
